startBinId,endBinId,distance
1,2,85.73386884383464
1,4,50.53246040014426
1,7,45.93713125800609
1,9,21.649432548187953
1,13,93.42198943771689
1,20,35.10108743323995
2,3,56.23434895181761
2,7,39.91602933894807
2,11,55.114285379033454
2,12,54.012158231316285
2,13,87.17997176021217
2,15,82.88732411889585
2,16,39.8537558895113
2,17,76.90901130547998
3,11,29.110249599625323
3,12,5.971323277529726
3,13,77.05913956456814
3,14,9.00203023240906
3,16,22.996588247757085
3,18,41.328441481645065
4,5,60.85980376522518
4,8,61.1783976758205
4,11,63.53420684841011
4,17,74.28450395367646
5,6,46.70165279129733
5,8,47.03048167146625
5,9,31.487058060601186
5,11,10.049286453818933
5,16,41.88021142857416
5,18,30.17210117939054
6,9,68.52769337142071
6,13,48.15746550244063
6,14,57.421682495711615
7,9,24.29485629560879
7,19,26.861150062891483
8,15,84.02738099852647
8,18,77.19280320310209
9,11,38.29823940650716
9,12,10.14808710933174
10,18,42.673501688446834
11,12,33.78647427112756
11,16,42.39571727873665
11,17,22.230583740720707
11,18,39.104762943914345
11,19,22.35356732638606
12,13,82.04065724632054
13,16,89.4458548712951
13,18,64.95328826167096
14,15,50.69809564098822
14,19,2.459376785600554
15,16,44.354955744678996
15,17,76.17464242699185
15,19,53.012118190895144
16,18,64.21753367420013
17,20,36.59385266145141
18,20,17.693013818732236
